,i_max,width,treatment,mouse,vessel_type,vessel,region_in_vessel,profile,repetition,y_bin_width,depth,rbc_flow,source
74,100.53347182229489,0.9131958030500442,Saline,20230513,pa,1.0,2,6,1,1.0,0.0,yes,../../Glycocalyx_frap/20230513_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc1_roi2_rep1_noterecovery.nc
75,101.75635952282968,0.7352583168142832,Saline,20230513,pa,1.0,2,7,1,1.0,0.0,yes,../../Glycocalyx_frap/20230513_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc1_roi2_rep1_noterecovery.nc
76,184.1728095433969,0.9306528213574516,Saline,20230517,pa,2.0,1,0,1,1.0,0.0,yes,../../Glycocalyx_frap/20230517_Glx_B6_HAse/20230517_mouseb6_vtyppa_loc2_roi1_rep1_noterecovery.nc
77,206.50350061702912,0.9599524807364794,Saline,20230517,pa,2.0,1,1,1,1.0,0.0,yes,../../Glycocalyx_frap/20230517_Glx_B6_HAse/20230517_mouseb6_vtyppa_loc2_roi1_rep1_noterecovery.nc
78,221.55392842451565,1.1515665034961238,Saline,20230517,pa,2.0,1,2,1,1.0,0.0,yes,../../Glycocalyx_frap/20230517_Glx_B6_HAse/20230517_mouseb6_vtyppa_loc2_roi1_rep1_noterecovery.nc
79,199.29628547922573,1.2749067629037274,Saline,20230517,pa,2.0,1,3,1,1.0,0.0,yes,../../Glycocalyx_frap/20230517_Glx_B6_HAse/20230517_mouseb6_vtyppa_loc2_roi1_rep1_noterecovery.nc
80,213.5503702180163,0.9526296630252348,Saline,20230517,pa,2.0,1,4,1,1.0,0.0,yes,../../Glycocalyx_frap/20230517_Glx_B6_HAse/20230517_mouseb6_vtyppa_loc2_roi1_rep1_noterecovery.nc
81,194.86467708761737,1.1667957603417474,Saline,20230517,pa,2.0,1,5,1,1.0,0.0,yes,../../Glycocalyx_frap/20230517_Glx_B6_HAse/20230517_mouseb6_vtyppa_loc2_roi1_rep1_noterecovery.nc
82,222.38602221308005,0.8150850852446272,Saline,20230517,pa,2.0,1,6,1,1.0,0.0,yes,../../Glycocalyx_frap/20230517_Glx_B6_HAse/20230517_mouseb6_vtyppa_loc2_roi1_rep1_noterecovery.nc
83,232.74468942821775,0.7965089589389951,Saline,20230517,pa,2.0,1,7,1,1.0,0.0,yes,../../Glycocalyx_frap/20230517_Glx_B6_HAse/20230517_mouseb6_vtyppa_loc2_roi1_rep1_noterecovery.nc
84,134.19465697700932,1.2886122342962008,Saline,20230517,pa,2.0,2,0,1,1.0,0.0,yes,../../Glycocalyx_frap/20230517_Glx_B6_HAse/20230517_mouseb6_vtyppa_loc2_roi2_rep1_noterecovery.nc
85,151.00993829699647,0.7718239419510287,Saline,20230517,pa,2.0,2,1,1,1.0,0.0,yes,../../Glycocalyx_frap/20230517_Glx_B6_HAse/20230517_mouseb6_vtyppa_loc2_roi2_rep1_noterecovery.nc
86,150.3207322089668,0.9066774117758404,Saline,20230517,pa,2.0,2,2,1,1.0,0.0,yes,../../Glycocalyx_frap/20230517_Glx_B6_HAse/20230517_mouseb6_vtyppa_loc2_roi2_rep1_noterecovery.nc
87,150.57570135746545,0.6515076401409932,Saline,20230517,pa,2.0,2,3,1,1.0,0.0,yes,../../Glycocalyx_frap/20230517_Glx_B6_HAse/20230517_mouseb6_vtyppa_loc2_roi2_rep1_noterecovery.nc
88,209.71007815713605,0.7546068537430912,Enzyme,20230523,pa,1.0,1,0,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi1_noterecovery.nc
89,182.1091855203612,0.8167194566994631,Enzyme,20230523,pa,1.0,1,1,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi1_noterecovery.nc
