,mouse,image,profile,vessel_type,vessel,region_in_vessel,repetition,i_max,fwhm,source_filename,treatment
241,20230510,7.0,3,pea,1.0,2,1,225.375,0.782227287874559,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi2_rep1_PRE.nc,Enzyme
242,20230510,7.0,4,pea,1.0,2,1,266.870849609375,0.7274566175918615,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi2_rep1_PRE.nc,Enzyme
243,20230510,7.0,5,pea,1.0,2,1,276.6541748046875,0.6385397092643469,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi2_rep1_PRE.nc,Enzyme
244,20230510,7.0,6,pea,1.0,2,1,339.7291564941406,0.5099337012610672,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi2_rep1_PRE.nc,Enzyme
245,20230510,7.0,7,pea,1.0,2,1,349.8208312988281,0.5223074100075655,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi2_rep1_PRE.nc,Enzyme
246,20230510,7.0,8,pea,1.0,2,1,306.4000244140625,0.5892907332075717,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi2_rep1_PRE.nc,Enzyme
247,20230510,7.0,9,pea,1.0,2,1,296.7749938964844,0.5517326660671543,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi2_rep1_PRE.nc,Enzyme
248,20230510,7.0,10,pea,1.0,2,1,312.6541748046875,0.5175217021191619,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi2_rep1_PRE.nc,Enzyme
249,20230510,7.0,11,pea,1.0,2,1,273.6666564941406,0.5559816569073994,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi2_rep1_PRE.nc,Enzyme
250,20230510,7.0,12,pea,1.0,2,1,270.2875061035156,0.5892033238504695,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi2_rep1_PRE.nc,Enzyme
251,20230510,7.0,13,pea,1.0,2,1,260.0333251953125,0.7330367151481788,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi2_rep1_PRE.nc,Enzyme
252,20230510,7.0,14,pea,1.0,2,1,372.9083251953125,0.5316416501466859,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi2_rep1_PRE.nc,Enzyme
253,20230510,7.0,15,pea,1.0,2,1,281.0625,0.5498706352077153,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi2_rep1_PRE.nc,Enzyme
254,20230510,7.0,16,pea,1.0,2,1,308.808349609375,0.5078888498520394,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi2_rep1_PRE.nc,Enzyme
255,20230510,8.0,0,pea,1.0,3,1,249.1875,0.510653822292533,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi3_rep1_PRE.nc,Enzyme
256,20230510,8.0,1,pea,1.0,3,1,255.45416259765625,0.481245480447129,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi3_rep1_PRE.nc,Enzyme
257,20230510,8.0,2,pea,1.0,3,1,264.76666259765625,0.4806524852263387,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi3_rep1_PRE.nc,Enzyme
258,20230510,8.0,3,pea,1.0,3,1,256.4916687011719,0.4811095170754687,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi3_rep1_PRE.nc,Enzyme
