lectin,mouse,vessel_type,contour_in_vessel_type,ln_y_norm_mean,ln_y_norm_mean_std,size
wga,20260330,bp_a,29,0.23156569447704706,1.1508588098443941,50
wga,20260330,bp_v,9,-0.8665663880702245,-0.43010178864592225,164
wga,20260330,bp_v,13,-1.2907160311790138,-1.040742242809923,38
wga,20260330,bp_v,14,-1.2011360409007066,-0.9117755754172026,25
wga,20260330,pa,0,0.01521878007744663,0.8393881291250721,199
wga,20260330,pa,2,-0.09084216173014899,0.6866941383916169,106
wga,20260330,pa,5,0.10479058201509922,0.9683430079140828,774
wga,20260330,pa,6,-0.19783562894528803,0.5326576079492793,460
wga,20260330,pa,8,0.3680361224348126,1.3473327794964474,129
wga,20260330,pa,9,0.3570400047339608,1.331501870721719,243
wga,20260330,pa,15,-0.07001131558825281,0.7166839251458293,1144
wga,20260330,pa,16,0.3281057388014118,1.2898457392666656,41
wga,20260330,pa,18,-0.3084089116264488,0.3734672829028187,59
wga,20260330,pa,19,-0.0804764643252027,0.7016174426403003,1311
wga,20260330,pa,24,0.22671271466765994,1.1438720639093216,199
wga,20260330,pa,25,-0.08781078130657802,0.6910583611339155,42
wga,20260330,pa,27,-0.3443374988773242,0.3217415554554464,819
wga,20260330,pa,28,0.018132738610338872,0.8435833017271248,27
wga,20260330,pa,30,0.15473494088188297,1.0402469844394628,51
wga,20260330,pea,4,-0.0803842251375317,0.7017502377053588,523
wga,20260330,pea,17,-0.030600105973578505,0.7734235200724355,212
wga,20260330,pv,6,-0.8850459743976216,-0.45670650981229205,23
wga,20260330,pv,7,-1.2471269541817336,-0.9779878489146019,1184
wga,20260330,pv,8,-1.0844159397101873,-0.7437357886130772,38
wga,20260330,pv,12,-1.2707830191979854,-1.012045051413655,247
wga,20260518,av,0,-0.6755162713622178,-0.15505044313591348,68
wga,20260518,av,1,-0.7056745191814532,-0.19846871884198292,1245
wga,20260518,av,4,-1.2052211599301235,-0.9176568462846103,17
wga,20260518,bp_v,3,-1.1041061624422015,-0.7720834407849395,34
wga,20260518,bp_v,5,-1.329588801372561,-1.0967066563872134,272
wga,20260518,pa,0,0.057497534696714384,0.9002560759491514,109
wga,20260518,pa,1,0.06054491890070162,0.9046433390402998,67
wga,20260518,pa,2,0.2671743017975621,1.2021238680605808,210
wga,20260518,pa,3,0.022465042915780487,0.8498204406983179,326
wga,20260518,pa,4,0.18635263933592583,1.0857664044302162,780
wga,20260518,pa,5,-0.045221806603365076,0.752372926117479,129
wga,20260518,pa,6,0.11004509902865801,0.9759078395901265,34
wga,20260518,pa,7,-0.1971340873102379,0.5336676045615648,134
wga,20260518,pa,8,-0.33829643449150665,0.3304387649430032,28
wga,20260518,pa,9,-0.03634289881556327,0.7651557266505279,23
wga,20260518,pv,2,-0.8997302892833724,-0.4778472483620171,169
