"",i_max,width,treatment,mouse,vessel_type,vessel,region_in_vessel,profile,repetition,y_bin_width,depth,rbc_flow,source,ln_i_max,ln_width,ln_i_max_stnd
1330,48.76842498779297,0.4852098402327911,E,E-20230504,c,E-20230504-4,1,3,1,1.4000000000000004,82.1,yes,../20230504_mouseb6_vtypc_loc4_roi1_rep1_notedepth81.2_PRE.nc,3.887083074506873,-0.7231738213413255,-2.1293178700429327
1329,47.01692581176758,0.6040212587175979,E,E-20230504,c,E-20230504-4,1,2,1,1.6000000000000014,82.1,yes,../20230504_mouseb6_vtypc_loc4_roi1_rep1_notedepth81.2_PRE.nc,3.8505076605357282,-0.5041458851143917,-2.1913629009441866
1328,52.60593795776367,0.6015862932485874,E,E-20230504,c,E-20230504-4,1,1,1,1.5,82.1,yes,../20230504_mouseb6_vtypc_loc4_roi1_rep1_notedepth81.2_PRE.nc,3.9628290023030566,-0.5081852904348733,-2.0008255873727756
1327,55.139427185058594,0.5337204017197585,E,E-20230504,c,E-20230504-4,1,0,1,1.5,82.1,yes,../20230504_mouseb6_vtypc_loc4_roi1_rep1_notedepth81.2_PRE.nc,4.009865017167709,-0.6278831694293453,-1.9210356225058973
1326,49.63433456420898,0.5090392493420399,E,E-20230504,c,E-20230504-1,1,0,1,2.0,,yes,../20230504_mouseb6_vtypc_loc1_roi1_rep1_PRE.nc,3.904682823367933,-0.6752301547128604,-2.0994623785152013
1666,105.17861938476562,0.8055342740867921,E,E-20230527,c,E-20230527-3,1,2,1,1.2,49.4,yes,../20230527_mouseb6_vtypc_loc3_roi1_rep1_notedepth-49-4_PRE.nc,4.655660041860613,-0.21624952719362406,-0.825535451419436
1645,27.693849563598636,0.5587831254930009,E,E-20230526,c,E-20230526-1,1,4,1,2.5,52.8,no,../20230526_mouseb6_vtypc_loc1_roi1_rep1_notedepth-52-8-activealignment_PRE.nc,3.3212103511241247,-0.5819938498129852,-3.089241129863262
1644,22.6242790222168,0.5267926124075082,E,E-20230526,c,E-20230526-1,1,3,1,2.0,52.8,no,../20230526_mouseb6_vtypc_loc1_roi1_rep1_notedepth-52-8-activealignment_PRE.nc,3.1190236226568877,-0.6409483327354338,-3.4322223966090037
1643,27.83314323425293,0.4477078819017954,E,E-20230526,c,E-20230526-1,1,2,1,2.0,52.8,no,../20230526_mouseb6_vtypc_loc1_roi1_rep1_notedepth-52-8-activealignment_PRE.nc,3.3262275132582957,-0.803614308570119,-3.0807302219649446
1642,25.229820251464844,0.545074517209688,E,E-20230526,c,E-20230526-1,1,1,1,2.5,52.8,no,../20230526_mouseb6_vtypc_loc1_roi1_rep1_notedepth-52-8-activealignment_PRE.nc,3.2280266382306335,-0.6068327648403112,-3.247314155380662
1641,28.62530899047852,0.5102078296940817,E,E-20230526,c,E-20230526-1,1,0,1,1.5,52.8,no,../20230526_mouseb6_vtypc_loc1_roi1_rep1_notedepth-52-8-activealignment_PRE.nc,3.3542912562433416,-0.6729371270690089,-3.0331240403346915
1652,26.65132522583008,0.6830250406295075,E,E-20230526,c,E-20230526-4,1,3,1,0.8999999999999995,63.8,yes,../20230526_mouseb6_vtypc_loc4_roi1_rep1_notedepth-63-8-activealignment_PRE.nc,3.282838876423538,-0.3812237573754903,-3.1543329244606606
1651,35.8446159362793,0.617208486468094,E,E-20230526,c,E-20230526-4,1,2,1,0.8999999999999995,63.8,yes,../20230526_mouseb6_vtypc_loc4_roi1_rep1_notedepth-63-8-activealignment_PRE.nc,3.5791933726785765,-0.48254840863935566,-2.6516093218686136
1650,27.063594818115234,0.3963992265708391,E,E-20230526,c,E-20230526-4,1,1,1,0.7999999999999989,63.8,yes,../20230526_mouseb6_vtypc_loc4_roi1_rep1_notedepth-63-8-activealignment_PRE.nc,3.2981894601172694,-0.9253334276613078,-3.128292824398328
1649,41.04402923583984,0.3980853180596249,E,E-20230526,c,E-20230526-4,1,0,1,0.6999999999999993,63.8,yes,../20230526_mouseb6_vtypc_loc4_roi1_rep1_notedepth-63-8-activealignment_PRE.nc,3.7146453743045487,-0.921088929687036,-2.4218341063877897
1648,28.55192756652832,0.6062764923792958,E,E-20230526,c,E-20230526-1,1,7,1,3.0,52.8,no,../20230526_mouseb6_vtypc_loc1_roi1_rep1_notedepth-52-8-activealignment_PRE.nc,3.3517244492880427,-0.500419138915235,-3.0374782662905404
1647,35.01054763793945,0.5065188334686486,E,E-20230526,c,E-20230526-1,1,6,1,2.0,52.8,no,../20230526_mouseb6_vtypc_loc1_roi1_rep1_notedepth-52-8-activealignment_PRE.nc,3.5556493771732676,-0.6801937724335577,-2.6915483894022945
190,269.19464111328125,0.6066984174488468,E,E-20230510,pa,E-20230510-1,1,12,1,1.0,0.0,yes,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi1_rep1_PRE.nc,5.595434690860995,-0.4997234524947671,0.7686596869717407
